time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200106:0811,93.46,20.0,27.92,0.0,5.28,3.7,3.03,0.0
20200106:0911,421.16,99.01,51.0,0.0,10.48,4.05,2.97,0.0
20200106:1011,509.62,46.0,107.0,0.0,13.81,4.44,2.83,0.0
20200106:1111,592.88,60.0,115.0,0.0,14.98,4.93,2.48,0.0
20200106:1211,562.9,70.0,101.0,0.0,13.89,5.09,2.21,0.0
20200106:1311,342.76,35.0,78.0,0.0,10.63,5.28,2.28,0.0
20200106:1411,86.9,7.0,32.24,0.0,5.49,5.23,2.28,0.0
20200106:1511,0.0,0.0,0.0,0.0,0.0,4.62,2.0,0.0
20200106:1611,0.0,0.0,0.0,0.0,0.0,4.15,2.0,0.0
20200106:1711,0.0,0.0,0.0,0.0,0.0,3.92,2.14,0.0
20200106:1811,0.0,0.0,0.0,0.0,0.0,3.75,2.28,0.0
20200106:1911,0.0,0.0,0.0,0.0,0.0,3.44,2.48,0.0
20200106:2011,0.0,0.0,0.0,0.0,0.0,2.86,2.34,0.0
20200106:2111,0.0,0.0,0.0,0.0,0.0,2.38,2.28,0.0
20200106:2211,0.0,0.0,0.0,0.0,0.0,1.74,2.41,0.0
20200106:2311,0.0,0.0,0.0,0.0,0.0,1.08,2.34,0.0
20200107:0011,0.0,0.0,0.0,0.0,0.0,0.62,2.34,0.0
20200107:0111,0.0,0.0,0.0,0.0,0.0,-0.1,2.28,0.0
20200107:0211,0.0,0.0,0.0,0.0,0.0,-0.83,2.21,0.0
20200107:0311,0.0,0.0,0.0,0.0,0.0,-1.41,2.07,0.0
20200107:0411,0.0,0.0,0.0,0.0,0.0,-1.96,2.0,0.0
20200107:0511,0.0,0.0,0.0,0.0,0.0,-2.21,2.14,0.0
20200107:0611,0.0,0.0,0.0,0.0,0.0,-1.93,2.28,0.0
20200107:0711,0.0,0.0,0.0,0.0,0.0,-1.54,2.62,0.0
20200107:0811,54.14,1.0,24.81,0.0,5.35,-0.41,2.48,0.0
20200107:0911,177.26,1.0,59.0,0.0,10.56,1.5,2.28,0.0
20200107:1011,162.27,0.0,56.0,0.0,13.91,2.57,2.34,0.0
20200107:1111,188.24,0.0,63.0,0.0,15.1,3.18,2.48,0.0
20200107:1211,260.28,1.0,81.0,0.0,14.02,3.7,2.69,0.0
20200107:1311,149.8,0.0,53.0,0.0,10.78,4.28,2.62,0.0
20200107:1411,45.4,0.0,23.0,0.0,5.64,4.62,2.48,0.0
20200107:1511,0.0,0.0,0.0,0.0,0.0,4.37,2.48,0.0
20200107:1611,0.0,0.0,0.0,0.0,0.0,3.99,2.69,0.0
20200107:1711,0.0,0.0,0.0,0.0,0.0,3.83,2.76,0.0
20200107:1811,0.0,0.0,0.0,0.0,0.0,4.02,2.9,0.0
20200107:1911,0.0,0.0,0.0,0.0,0.0,4.1,2.76,0.0
20200107:2011,0.0,0.0,0.0,0.0,0.0,3.58,2.83,0.0
